,discog_year
0,2009.0
1,0.0
2,1967.0
3,2006.0
4,1976.0
5,1990.0
6,1991.0
7,2013.0
8,2009.0
9,2012.0
10,2010.0
11,2004.0
12,
13,1996.0
14,1973.0
15,1999.0
16,1974.0
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,2015.0
31,
32,
33,1978.0
34,
35,1978.0
36,
37,
38,
39,
40,
41,
42,2002.0
43,
44,
45,
46,
47,
48,
49,2001.0
50,
51,0.0
52,
53,
54,2013.0
55,2013.0
56,1994.0
57,
58,
59,2010.0
60,
61,
62,2016.0
63,2010.0
64,
65,2010.0
66,
67,0.0
68,
69,2002.0
70,
71,0.0
72,
73,2010.0
74,
75,1971.0
76,
77,
78,2006.0
79,
80,1979.0
81,
82,
83,1996.0
84,
85,
86,
87,1975.0
88,2005.0
89,
90,
91,2002.0
92,
93,1976.0
94,
95,1969.0
96,
97,
98,
99,0.0
100,
101,2000.0
102,
103,
104,2015.0
105,
106,
107,2004.0
108,
109,2002.0
110,
111,2004.0
112,
113,2007.0
114,
115,2008.0
116,
117,1982.0
118,
119,
120,0.0
121,
122,
123,
124,
125,2015.0
126,
127,2017.0
128,
129,
130,1989.0
131,
132,2015.0
133,
134,2005.0
135,
136,
137,
138,1978.0
139,
140,1976.0
141,
142,2012.0
143,
144,2005.0
145,
146,2016.0
147,
148,2009.0
149,
150,0.0
151,
152,2015.0
153,
154,0.0
155,
156,2014.0
157,
158,1966.0
159,
160,1997.0
161,
162,1986.0
163,
164,0.0
165,
166,2007.0
167,
168,1992.0
169,
170,1973.0
171,
172,2010.0
173,
174,1970.0
175,
176,2017.0
177,
178,2014.0
179,
180,0.0
181,
182,2010.0
183,
184,2012.0
185,
186,2017.0
187,
188,2017.0
189,
190,2016.0
191,
192,2017.0
193,
194,2016.0
195,
196,2017.0
197,
198,1996.0
199,
200,2010.0
201,
202,1997.0
203,
204,1996.0
205,
206,1997.0
207,
208,2013.0
209,
210,2013.0
211,
212,2001.0
213,
214,1981.0
215,
216,2013.0
217,
218,0.0
219,
220,2016.0
221,
222,1969.0
223,
224,1983.0
225,
226,1972.0
227,
228,
229,2010.0
230,
231,2018.0
232,
233,2016.0
234,
235,1992.0
236,
237,1993.0
238,
239,2005.0
240,
241,
242,2017.0
243,
244,1975.0
245,
246,2016.0
247,
248,1986.0
249,
250,1983.0
251,
252,2006.0
253,
254,2003.0
255,
256,1970.0
257,
258,2016.0
259,
260,1975.0
261,
262,1976.0
263,
264,2006.0
265,
266,1997.0
267,
268,2006.0
269,
270,2006.0
271,
272,1972.0
273,
274,2009.0
275,
276,1980.0
277,
278,
279,
280,
281,
282,
283,
284,2002.0
285,
286,1999.0
287,
288,2001.0
289,
290,
291,
292,
293,1971.0
294,
295,
296,
297,2014.0
298,
299,
300,1969.0
301,
302,0.0
303,
304,0.0
305,
306,2007.0
307,
308,
309,2006.0
310,
311,
312,2015.0
313,
314,1975.0
315,
316,1974.0
317,
318,
319,
320,
321,0.0
322,1970.0
323,
324,
325,0.0
326,
327,1970.0
328,
329,2002.0
330,
331,
332,
333,1988.0
334,
335,2015.0
336,
337,1984.0
338,
339,1975.0
340,
341,1995.0
342,
343,0.0
344,
345,1983.0
346,
347,1972.0
348,
349,2002.0
350,
351,1999.0
352,
353,2008.0
354,
355,2008.0
356,
357,2003.0
358,
359,1971.0
360,
361,2000.0
362,
363,2002.0
364,
365,
366,
367,2003.0
368,
369,
370,0.0
371,
372,
373,0.0
374,
375,2005.0
376,
377,0.0
378,
379,
380,
381,1980.0
382,
383,1975.0
384,
385,2005.0
386,
387,1994.0
388,
389,
390,
391,
392,
393,1997.0
394,
395,
396,1970.0
397,
398,
399,2009.0
400,
401,
402,
403,2007.0
404,
405,2014.0
406,
407,1965.0
408,
409,1974.0
410,
411,1972.0
412,
413,2002.0
414,
415,
416,2006.0
417,
418,2009.0
419,
420,
421,1970.0
422,
423,0.0
424,
425,2018.0
426,
427,1983.0
428,
429,1996.0
430,
431,0.0
432,
433,1981.0
434,
435,2002.0
436,
437,1979.0
438,
439,2015.0
440,
441,1985.0
442,
443,1971.0
444,
445,1991.0
446,
447,1991.0
448,
449,2013.0
450,
451,1991.0
452,
453,2012.0
454,
455,
456,
457,1991.0
458,2017.0
459,
460,1977.0
461,
462,0.0
463,
464,1992.0
465,
466,1987.0
467,
468,1983.0
469,
470,1971.0
471,
472,2005.0
473,
474,
475,
476,0.0
477,
478,
479,1983.0
480,
481,1985.0
482,
483,1980.0
484,
485,2002.0
486,
487,2011.0
488,
489,1994.0
490,
491,1993.0
492,
493,1998.0
494,
495,1998.0
496,
497,1981.0
498,
499,2011.0
500,
501,2010.0
502,
503,1999.0
504,
505,2001.0
506,
507,1978.0
508,
509,0.0
510,
511,1974.0
512,
513,1993.0
514,
515,1978.0
516,
517,1977.0
518,
519,1979.0
520,
521,1997.0
522,
523,2003.0
524,
525,2003.0
526,
527,2011.0
528,
529,1986.0
530,
531,0.0
532,
533,2000.0
534,
535,2013.0
536,
537,0.0
538,
539,1970.0
540,
541,1979.0
542,
543,1980.0
544,
545,1984.0
546,
547,
548,2014.0
549,
550,2018.0
551,
552,1982.0
553,
554,1999.0
555,
556,1979.0
557,
558,2014.0
559,
560,1998.0
561,
562,2016.0
563,
564,1974.0
565,
566,1966.0
567,
568,0.0
569,
570,1984.0
571,
572,1994.0
573,
574,
575,2003.0
576,
577,1982.0
578,
579,2010.0
580,
581,1970.0
582,
583,1976.0
584,
585,2016.0
586,
587,1975.0
588,
589,1978.0
590,
591,
592,1972.0
593,
594,1997.0
595,
596,2000.0
597,
598,2012.0
599,
600,2013.0
601,
602,1995.0
603,
604,1978.0
605,
606,1973.0
607,
608,1977.0
609,
610,1993.0
611,
612,1999.0
613,
614,1991.0
615,
616,1991.0
617,
618,1989.0
619,
620,1979.0
621,
622,2017.0
623,
624,0.0
625,
626,
627,2016.0
628,
629,1992.0
630,
631,1979.0
632,
633,1998.0
634,
635,2005.0
636,
637,2007.0
638,
639,2017.0
640,
641,2009.0
642,
643,2009.0
644,
645,2016.0
646,
647,1977.0
648,
649,2006.0
650,
651,2012.0
652,
653,2011.0
654,
655,1976.0
656,
657,0.0
658,
659,1997.0
660,
661,1993.0
662,
663,2016.0
664,
665,2005.0
666,
667,1998.0
668,
669,2010.0
670,
671,1978.0
672,
673,2005.0
674,
675,1980.0
676,
677,1978.0
678,
679,2010.0
680,
681,2009.0
682,
683,1999.0
684,
685,2005.0
686,
687,1979.0
688,
689,2016.0
690,
691,1978.0
692,
693,1972.0
694,
695,2016.0
696,
697,1982.0
698,
699,1978.0
700,
701,1997.0
702,
703,1974.0
704,
705,2004.0
706,
707,1991.0
708,
709,1982.0
710,
711,1977.0
712,
713,1973.0
714,
715,1977.0
716,
717,2015.0
718,
719,2015.0
720,
721,1977.0
722,
723,1991.0
724,
725,2018.0
726,
727,1968.0
728,
729,0.0
730,
731,2016.0
732,
733,0.0
734,
735,1983.0
736,
737,1983.0
738,
739,1974.0
740,
741,1986.0
742,
743,2015.0
744,
745,1965.0
746,
747,0.0
748,
749,2011.0
750,
751,1977.0
752,
753,2006.0
754,
755,2003.0
756,
757,2004.0
758,
759,2010.0
760,
761,2013.0
762,
763,2016.0
764,
765,1970.0
766,
767,2015.0
768,
769,1992.0
770,
771,2004.0
772,
773,1980.0
774,
775,1977.0
776,
777,2017.0
778,
779,2010.0
780,
781,1995.0
782,
783,2012.0
784,
785,1985.0
786,
787,2013.0
788,
789,2005.0
790,
791,1972.0
792,
793,1969.0
794,
795,1981.0
796,
797,1986.0
798,
799,1992.0
800,
801,1967.0
802,
803,2011.0
804,
805,2000.0
806,
807,1979.0
808,
809,1983.0
810,
811,1998.0
812,
813,1993.0
814,
815,1991.0
816,
817,2013.0
818,
819,1999.0
820,
821,2013.0
822,
823,2011.0
824,
825,1979.0
826,
827,2005.0
828,
829,
830,
831,
832,1991.0
833,2009.0
834,
835,2016.0
836,
837,1989.0
838,
839,1978.0
840,
841,1991.0
842,
843,1983.0
844,
845,1999.0
846,
847,2010.0
848,
849,1982.0
850,
851,2002.0
852,
853,2002.0
854,
855,2014.0
856,
857,1999.0
858,
859,2013.0
860,
861,1996.0
862,
863,1988.0
864,
865,1987.0
866,
867,2013.0
868,
869,2013.0
870,
871,1983.0
872,
873,1979.0
874,
875,1974.0
876,
877,1981.0
878,
879,1992.0
880,
881,1979.0
882,
883,1989.0
884,
885,2015.0
886,
887,1976.0
888,
889,1984.0
890,
891,0.0
892,
893,2008.0
894,
895,
896,1998.0
897,
898,0.0
899,
900,1995.0
901,
902,2016.0
903,
904,0.0
905,
906,1998.0
907,
908,2001.0
909,
910,1972.0
911,
912,1977.0
913,
914,1983.0
915,
916,1977.0
917,
918,1980.0
919,
920,1966.0
921,
922,2006.0
923,
924,0.0
925,
926,1996.0
927,
928,1996.0
929,
930,0.0
931,
932,
933,1996.0
934,
935,0.0
936,
937,1982.0
938,
939,1996.0
940,
941,1975.0
942,
943,1996.0
944,
945,2012.0
946,
947,0.0
948,
949,1989.0
950,
951,2015.0
952,
953,2007.0
954,
955,1978.0
956,
957,2009.0
958,
959,1992.0
960,
961,2008.0
962,
963,1995.0
964,
965,2007.0
966,
967,1998.0
968,
969,1986.0
970,
971,2011.0
972,
973,1966.0
974,
975,0.0
976,
977,1980.0
978,
979,2014.0
980,
981,1971.0
982,
983,1990.0
984,
985,2009.0
986,
987,1995.0
988,
989,2007.0
990,
991,0.0
992,
993,1978.0
994,
995,2009.0
996,
997,2007.0
998,
999,
1000,2012.0
1001,
1002,1999.0
1003,
1004,1986.0
1005,
1006,1977.0
1007,
1008,1973.0
1009,
1010,2011.0
1011,
1012,
1013,0.0
1014,
1015,0.0
1016,
1017,2003.0
1018,
1019,1999.0
1020,
1021,
1022,2010.0
1023,
1024,2005.0
1025,
1026,2009.0
1027,
1028,2014.0
1029,
1030,
1031,1987.0
1032,
1033,
1034,1976.0
1035,1992.0
1036,
1037,0.0
1038,
1039,1989.0
1040,
1041,1973.0
1042,
1043,2015.0
1044,
1045,2009.0
1046,
1047,1997.0
1048,
1049,1997.0
1050,
1051,1989.0
1052,
1053,2007.0
1054,
1055,0.0
1056,
1057,1987.0
1058,
1059,2005.0
1060,
1061,0.0
1062,
1063,1986.0
1064,
1065,1975.0
1066,
1067,1978.0
1068,
1069,1989.0
1070,
1071,1974.0
1072,
1073,0.0
1074,
1075,1997.0
1076,
1077,1987.0
1078,
1079,
1080,1997.0
1081,
1082,2008.0
1083,
1084,2008.0
1085,
1086,2008.0
1087,
1088,1972.0
1089,
1090,1996.0
1091,
1092,2011.0
1093,
1094,2017.0
1095,
1096,0.0
1097,
1098,1970.0
1099,
1100,0.0
1101,
1102,2015.0
1103,
1104,2012.0
1105,
1106,2016.0
1107,
1108,0.0
1109,
1110,2015.0
1111,
1112,1973.0
1113,
1114,0.0
1115,
1116,2016.0
1117,
1118,0.0
1119,
1120,1999.0
1121,
1122,0.0
1123,
1124,1998.0
1125,
1126,0.0
1127,
1128,1963.0
1129,
1130,1974.0
1131,
1132,1972.0
1133,
1134,2016.0
1135,
1136,0.0
1137,
1138,
1139,1970.0
1140,
1141,
1142,0.0
1143,
1144,1992.0
1145,
1146,
1147,1996.0
1148,
1149,0.0
1150,
1151,0.0
1152,
1153,1986.0
1154,
1155,1972.0
1156,
1157,1974.0
1158,
1159,2007.0
1160,
1161,2008.0
1162,
1163,
1164,
1165,1974.0
1166,1971.0
1167,
1168,
1169,1985.0
1170,
1171,0.0
1172,
1173,1975.0
1174,
1175,1974.0
1176,
1177,2010.0
1178,
1179,0.0
1180,
1181,1970.0
1182,
1183,
1184,1962.0
1185,
1186,
1187,1996.0
1188,0.0
1189,
1190,2012.0
1191,
1192,0.0
1193,
1194,1990.0
1195,
1196,1993.0
1197,
1198,0.0
1199,
1200,1988.0
1201,
1202,0.0
1203,
1204,1975.0
1205,
1206,1972.0
1207,
1208,1988.0
1209,
1210,1990.0
1211,
1212,1995.0
1213,
1214,2003.0
1215,
1216,2003.0
1217,
1218,1993.0
1219,
1220,1998.0
1221,
1222,1993.0
1223,
1224,
1225,
1226,2011.0
1227,1972.0
1228,
1229,1993.0
1230,
1231,1998.0
1232,
1233,1993.0
1234,
1235,1975.0
1236,
1237,1970.0
1238,
1239,1993.0
1240,
1241,1971.0
1242,
1243,1969.0
1244,
1245,1998.0
1246,
