,artist,title,album,text
0,Abdal,Altın Yüzüğüm Kırıldı,Ervah-I Ezelde,Altın yüzüğüm kırıldı (hey)  Suya düştü su duruldu (hey)  Dediler yarin geliyor (hey)  İnce bellerim kırıldı  Tel tel tellerine  Kurban olam dillerine vay  Atımın da nalı yoktur (hey)  Üzerinde çulu yoktur (hey)  Gölbaşın da yolu yoktur (hey)  Git gelemem emmim kızı  Tel tel tellerine  Kurban olam dillerine vay  Altınlarım nal edeyim (hey)  Al hırkamı çul edeyim (hey)  Gölbaşını yol edeyim (hey)  Ben gelemem emim kızı  Tel tel tellerine  Kurban olam dillerine vay     
1,Abdal,Bağbozumu,Ervah-I Ezelde,Bir bağ bozumuydu gidişin Plajlar boşalmıştı Bilmem farkındamıydın halimin Aklım sana takılmıştı Nasılda geçiverdi Koskoca bir yaz mevsimi Şimdiden özler oldum O güzel gözlerini Bir bağ bozumuydu gidişin Plajlar boşalmıştı Bilmem farkındamıydın halimin Aklım sana takılmıştı   
2,Abdal,Başı Pare Pare,Ervah-I Ezelde,Başı pare pare (hey hey) dumanlı dağlar (oy oy) Duman eylenir mı (hey hey) kar olmayınca (oy oy) Bana diyorlar ki (hey hey) sen gönül eyle (oy oy) Gönül eylenir mi (hey hey) yar olmayınca (oy oy) Ben bu yaylalara (hey hey) yayla mı derim (oy oy) Başı bölük bölük (hey hey) kar olmayınca (oy oy) Ben bu güzellere (hey hey) güzel mi derim (oy oy) Aslı türkmen kendi (hey hey) bey olmayınca (oy oy)    
3,Abdal,Bir Ay Doğar,Ervah-I Ezelde,Bir ay doğar ilk akşamdan geceden (nedem nedem geceden) Şavkı vurmuş pencereden bacadan (dağlar gışımış yolcum üşümüş) Uykusuz mu kaldın dünkü geceden (nedem nedem geceden) Uyan uyan yar sinene sar beni Dağlar gışımış yolcum üşümüş nasıl edem ben Dağlar haramı açma yaramı perişanım ben Yüce dağ başından aşırdın beni (nedem nedem yar beni) Tükenmez derdlere düşürdün beni (dağlar gışımış yolcum üşümüş) Madem soysuz bende göynün yoğudu     
4,Abdal,Bir Of Çeksem Karşıki Dağlar Yıkılır,Ervah-I Ezelde,Bir of çeksem karşı ki dağlar yıkılır Bugün posta günü canım sıkılır Ellerin mektubu gelmiş okunur Benim yüreğime hançer sokulur  Şu karşı ki dağda bir top kar idim Yağmur yağdı ılgıt ılgıt eridim Evvel yarin sevdiği de ben idim Şimdi uzaklardan bakan el oldum    
5,Abdal,Bülbül Havalanmış,Ervah-I Ezelde,Bülbül havalanmış yüksekten uçar  Has bahçe içinde gülüm var deyi  Seni seven aşık serinden geçer  Güzeller içinde yarim var deyi  Ben seni severim sen de sev beni  Mevlam bir kararda koymaz insanı  Bir gün gelir sen de ararsın beni  Şurda bir divane yarim var deyi  Beni seni severim can ile candan  İnsan kemlik bulmaz sevdiği yardan  Canım esirgemem vallahi senden  Götür sat pazarda kölem var deyi  Karac'oğlan söyle karşı karadan  Hicap perdesini kaldır aradan  Seni beni bir Mevla'dır yaradan  Büyüklenme hey kız güzelim deyi   
6,Abdal,Dün Gece,Ervah-I Ezelde,"Dün gece dün gece seyrim içinde  Seyrim ağlar ağlar pir sultan deyi  Gündüz hayalimde, gece düşümde  Düş de ağlar, ağlar pir sultan deyi  Uzundu, usuldu dedemin boyu  Yıldız'dır yaylası, banaz'dır köyü  Yaz bahar ayında bulanır suyu  Sular da ağlaşır pir     "
7,Abdal,Eğin Dedikleri Bir Küçük Şehir,Ervah-I Ezelde,Eğin dedikleri (anam) bir küçük şehir (nidem) Nine ben cahilem (yandım) çekemem kahır Yediğim içtiğim (anam) ağuynan zehir (nidem) Ya ben ağlamayım (yandım) kimler ağlasın Şu garip gönlümü (yandım) kimler eylesin Derya kenarında (anam) kayık değilim (nidem) Yârdan ayrılalı (yandım) ayık değilim Bir çift selamına (anam) layık değilim (nidem) En gel ağam en gel de gene get Akan göz yaşımı sil de gene get    
8,Abdal,Ervah,Yayla Çiçeği Misin?,"Ervah-ı Ezelden levh-i kalemden, levh-i kalemden  Bu benim bahtımı kara yazmışlar bilirim güldürmez devr-i alemden  birgünümü yüz bin zara yazmışlar  bilirim güldürmez devr-i alemden  birgünümü yüz bin zara yazmışlar  Dünyayı sevenler veli değildir,canım değildir canı terkedenler deli değildir insanoğlu gamdan hali değildir  her birini bir efkara yazmışlar  insanoğlu gamdan hali değildir  her birini bir efkara yazmışlar  nedir bu sevdanın nihayetinde,nihayetinde  yadlar gezer yarın vilayetinde herkes diyarında muhabbetinde      "
9,Abdal,Ezim Ezim Eziliyor,Ervah-I Ezelde,Ezim ezim eziliyor yüreğim (vay) Çok yalvardım kabul olmaz dileğim (vay) Ben ağlarım doktor ağlar dert ağlar Harap oldum yari gördüğüm çağlar Laleli sünbüllü ne güzel bağlar Telgrafın direkleri (de) dört olur Sen ağlama yüreğime dert olur Ben ağlarım doktor ağlar dert ağlar Harap oldum yari gördüğüm çağlar Laleli sünbüllü ne güzel bağlar Bir tel verdim diyarbekir (de) valiye (vay) Haber gelir çarşambaya saliye (vay) Ben ağlarım doktor ağlar dert ağlar Harap oldum yari gördüğüm çağlar Laleli sünbüllü ne güzel bağlar    
