,artist,title,album,text
0,Abdullah Papur,Ah Anam,Varlığa Güvenme,"Bir kara sevdadır vatan ana hasret tüterde burnumda bitmiyor ana  İçerem doluda her yanım bir dert derler çoğaldıda bitmedi anam anam  İçerem doluda her yanım bir dert derler çoğaldıda bitmedi anam anam  Dertler çoğaldıda bitmedi anam anam anam..    Her sözü bir diken batar canıma dertler söylemiyor yabanada anam  Lahnetler yağdırdım uzay çağına satılmış çileside bitmedi anam anam  Lahnetler yağdırdım uzay çağına satılmış çileside bitmedi anam anam  Satılmış çileside bitmedi anam anam anam..    Göç merağıda sarmış bütün milleti, ne hale koyarmış açlık illeti  Gelipde görenler gurbet elini koparır yürekten ahları anam anam anam      "
1,Abdullah Papur,Ahu Gözlüm (Gel De),Bir Kuş Konmuş,Ahu gözlüm yoksa ayrılık mı var Bir daha konuşak biz bize gel de Gene gurbet ile hasretlik mi var Son olsun oturak diz dize gel de  Sen orada ben burada duramam Engeller arada murat alamam Aylar geçer yıllar geçer bulamam Doya doya bakam göz göze gel de  Papur gönlüm kaldı o nazlı yarda Uzatıp elini ne olur ver de Ölüm var ayrılık var hele kaderde Bari helallaşak yüz yüze gel de   
2,Abdullah Papur,Ahu Gözlüm Yoksa Ayrılık Mı Var,Varlığa Güvenme,Ahu gözlüm yoksa ayrılık mı var    Ahu gözlüm yoksa ayrılık mı var    Birdaha konuştakta biz bize gelde    Birdaha konuştakta biz bize gelde    Gene gurbet ile hasretlik mi var    Gene gurbet ile hasretlik mi var    Son olsun oturakda diz dize gelde ah    Son olsun oturakda diz dize gelde ah      
3,Abdullah Papur,Aynı Davul Aynı Zurna,Aşıklar Diyarı,Hep zenginler güler oynar aynı davul aynı zurna Yoksullar boynunu büker aynı davul aynı zurna oyna gardaş sende oyna Yoksullar boynunu büker aynı davul aynı zurna oyna bacım sende oyna  Döner dolap böyle durmaz avrat kızar file durmaz Böyle gider hiç değişmez aynı davul aynı zurna oyna babam sende oyna Böyle gider hiç değişmez aynı davul aynı zurna oyna gardaş sende oyna  Çıkmıyor zurnanın sesi ah başımın tek belası Bugün yine zam haftası aynı davul aynı zurna oyna kadir sende oyna Ah başımın tek belası aynı davul aynı zurna oyna gardaş sende oyna  Böyle gider yoktur sonu gel ağlatma gardaş beni Üzme papur tatlı canı aynı davul aynı zurna oyna papur sende oyna Üzme papur tatlı canı aynı davul aynı zurna oyna gardaş sende oyna   
4,Abdullah Papur,Bak Ne Güzel,Aşıklar Diyarı,Söyle her kürsüye çıkan paramız var malımız var Her mevsimde bir başbakan üretecek dalımız var Her mevsimde bir başbakan üretecek dalımız var  Her gelende aynı arzu başımıza vurur gürzü Varmı başka izah tarzı diyen demirelimiz var Varmı başka izah tarzı diyen demirelimiz var  Erimin müthiş bayrozu sırtımızdan aldı tozu Reforumla boğdu bizi okudumuz yolumuz var Reforumla boğdu bizi okudumuz yolumuz var      
5,Abdullah Papur,Bal Yapmaz,Varlığa Güvenme,Dön kardaşım böyle assa gidilmez Bakkala kasaba kimse giremez Bu memleket bu arıyla düzelmez Demedim mi bu arıda bal yapmaz yapmaz yapmaz bal yapmaz Bu memleket bu arıyla düzelmez Demedim mi bu arıda bal yapmaz yapmaz yapmaz bal yapmaz  Ahmedin başında mehmedin fesi Kimse çıkıp demez bu neyin nesi Arı zehirledi bütün herkesi Bu arı sizlere vallah bal yapmaz Yapmaz yapmaz bal yapmaz Arı zehirledi bütün herkesi Bu arı bizlere kardaş bal yapmaz Yapmaz yapmaz bal yapmaz  Bu arının çeşit çeşit oyunu var Avrupadan gelmiş taze beyni var Ne kovanda ne petekde beli var Bu arı sizlere bal yapmaz     
6,Abdullah Papur,Banane,Varlığa Güvenme,İğde çiçekin kan alam dilek diledim neydim diledim Gece gündüz bir hayale bölendim neydim bölendim Ezel bende cahilleri kınardım neydim kınardım Dolabı cevildi hain geldi başıma geldi başıma ay Ezel bende cahilleri kınardım neydim kınardım Dolabı cevildi gurban geldi başıma geldi başıma ay  Görülsünde bizim eller görülsün anam görülsün Eli köyüde görülek banane ey neydim banane kurban babane ey Eli köyüde görülek banane ey kurban babane neydim banane ey Salınsında benim yarim salınsın kurban salınsın Eli yarıda salınak banane ey neydim banane kurban banane ey Salınsında benim yarim salınsın neydim salınsın Elin yarıda salınak banane ey kurban babane neydim banane ey   
7,Abdullah Papur,Ben Olsam (Bahar Ayı Geldi),Bir Kuş Konmuş,Bahar ayı geldi karlar eridi Derelerin coşan seli ben olsam Ağaçlar yeşermiş çiçekler açmış Yeşeren yaprağın dalı ben olsam  Yayladan erimiş kar ile buzlar Göllerden uçmuş yar turnalar kazlar Dizilmiş gidiyor gelinlik kızlar Yaylanın o güzel yolu ben olsam  Çiçeğe bürünmüş hep kara yerler Yaylalar o dağlar ovalar çöller Bahçede açılmış tomurcuk güller Açılan güllerin han ben olsam  Papur der ki sakın hele ne olmuş Nazlı yarin yurdu çiğdem gül olmuş Bütün cümle alem şad olup gülmüş Şad olup gülenin biri ben olsam   
8,Abdullah Papur,Çift Camlardan Ses Gelmiyor,Bir Kuş Konmuş,bugün görüşme günüdür oy çift camlardan ses gelmiyor oy mahkumların umududur çift camlardan ses gelmiyor oy yavrum yüzün görünmüyor oy  anons sesini beklerim oy geldi m'ola sevdiklerim ali'm bitti umutlarım çift camlardan ses gelmiyor oy yavrum yüzün görünmüyor oy   
9,Abdullah Papur,Dağlar (Boranın Kışı),Varlığa Güvenme,Boranın kışına kalmayan dağlar Başından eksilmez dumanın senin Eser ürüzgarın suların çağlar Birgün kurur elbet sellerin senin  Viran olur yaylaların yurtların Bozkır olur yamaçların sırtların Bölük bölük gezer o aç kurtların Başında kalmazlar elbette senin  Kış gelince yükseklerin ak olur Ötmez bülbüllerin uçar yok olur Şimdi seni sevenlerin çok olur Zemheride artık görürüm seni  Papur bu dağlarda sefa sürülmez Ölen ölür daha geri dirilmez Güz gelen de ayazından durulmaz Başındaki karlar bölüğün senin   
