,artist,title,album,text
0,Abdurrahman Önül,Abdülkadir Geylani,Döne Döne 3,"Kadirilerin şahı gönüller padişahı Abdülkadir Geylani zikrederdi Allah'ı,Allah'ı    Seyyittir evliyadır derin dipsiz deryadır Gönüllere ihyadır Geylani'dir Geylani,Geylani  Kadirilerin şahı gönüller padişahı Abdülkadir Geylani zikrederdi Allah'ı,Allah'ı    Yürüdü su üstünde nur vardı gül yüzünde Kadirinin gönlünde Geylani'dir Geylani,Geylani  Kadirilerin şahı gönüller padişahı Abdülkadir Geylani zikrederdi Allah'ı,Allah'ı    O Bağdat'ın gülüdür Kadirinin gönlüdür Kâinatta ünlüdür Geylani'dir Geylani,Geylani  Kadirilerin şahı gönüller padişahı     "
1,Abdurrahman Önül,Açılsın Yollar,İbrahim`e Götürdüler,Açılsın da yollar sana geleyim  Öyle özledim ki seni ey resul öyle özledim ki seni ey resul  Topladım gülleri düştüm yollara yolum yine uzar patikalara  Mevlam rahmeliyor bütün kullara açılsın da yollar sana geleyim  Mevlam rahmeliyor bütün kullara açılsın da yollar sana geleyim   Açılsın da yollar sana geleyim açılsın da yollar sana geleyim  Öyle özledim ki seni ey resul öyle özledim ki seni ey resul Öyle özledim ki seni ey resul öyle özledim ki seni ey resul.  Yoruldu yüreğim dert çeke çeke kurudu gözlerim yaş döke döke Yolların üstüne gül eke eke o yüce resule ben gidiyorum     
2,Abdurrahman Önül,Ağlama Zeynebim,Ağlama Zeynebim,"Üzdüler seni çok kırdılar seni çok  Genç yaşta mateme düştün ah Zeynebim  Üzüldü Peygamber ağladı Medine  Gözler yaş serik suskundu Medine    Ağlama Zeynebim,ağlama Zeynebim  Dayanmaz yürekler,ağlama Zeynebim  Peygamber'in gülü,ümmetin annesi  Cennet'in sultanı,ağlama Zeynebim      Medine sessizdi Medine suskundu  Zeynebim diyen Peygamber mahzundu  Yürekte hüzün var gözlerde yaş serik  Ağlıyor sahabe Zeynebim Zeynebim    Ağlama Zeynebim,ağlama Zeynebim  Dayanmaz yürekler,ağlama Zeynebim  Peygamber'in gülü,ümmetin annesi  Cennet'in sultanı,ağlama Zeynebim   "
3,Abdurrahman Önül,Ah Medine,Canım Anam,"Ben sana susadım sana  İçsem seni kana kana  Gireydim senin dünyana  Ah Medine can Medine    Özledim seni özledim  Mevla'dan seni diledim  Can Ahmed'in hasretini  Ben bu gönlüme gizlerim      Özledim seni özledim  Mevla'dan seni diledim    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]Can Ahmed'in hasretini  Ben bu gönlüme gizlerim      Ağlarım hasretin ile  Hasretinle çektim çile  Heder oldum bile bile,  Ah Medine, can Medine.    Özledim seni özledim,  Mevladan seni diledim,  Can Ahmed'in hasretini,  Ben bu gönlüme gizledim.   "
4,Abdurrahman Önül,Ah Medinem,Ağlama Zeynebim,Aşkınla yanar yürekler Dillerde sen Medinem Anlatılmaz bu özlemin Cana cansın ah Medinem  Medinem(x4) Ümmet sana sevdalı Yanar durur aşkınla  Aaah Medinem(x4) Ümmet sana sevdalı Yanar durur aşkınla       
5,Abdurrahman Önül,Ah Şu Avrupa,Sevdim Onu,"Avrupa, Avrupa dedikleri, Avrupa, Avrupa dedikleri Anadan uzak, vatandan uzak eden değil mi ah şu Avrupa Ömürdem ömür, zamandan zaman çalan değil mi ah şu Avrupa  Geldin ama Avrupa'ya benim kardaşım Bitmedi derdin, çilen vah benim yoldaşım Anadan uzak babadan hasret kardaşım Gelse de şu izin hele gitsen kardaşım   "
6,Abdurrahman Önül,Akan Sular Durulur Mu?,Dosta Doğru,Ben ilimden ayrılmışım  Bir sevdaya tutulmuşum  Nasihat kar etmez bana  Muhammed'e vurulmuşum    Akan sular durulur mu  Allah diyen yorulur mu  Yara Muhammed yarası  Buna merhem bulunur mu      Bırak kardeş bu illeri  Ötüşmüyor bulbülleri  Ben Resule varmak için  Öğrendim Arap dilleri    Akan sular durulur mu  Allah diyen yorulur mu  Yara Muhammed yarası  Buna merhem bulunur mu   
7,Abdurrahman Önül,Akan Sular Durulur Mu,ahmet.2014,Bırak kardeş bu illeri   Ötüşmüyor bulbülleri   Ben Resule varmak için   Öğrendim Arap dilleri     Akan sular durulur mu   Allah diyen yorulur mu   Yara Muhammed yarası   Buna merhem bulunur mu      Ben ilimden ayrılmışım   Bir sevdaya tutulmuşum   Nasihat kar etmez bana   Muhammed'e vurulmuşum     Akan sular durulur mu   Allah diyen yorulur mu   Yara Muhammed yarası   Buna merhem bulunur mu   
8,Abdurrahman Önül,Alem Hayran,Canım Anam,Himmet eder sofilere Nazar eder gönüllere Bahçesindeki güllere Alem hayrandır hayrandır  Hayrandır alem hayrandır Hem seyittir hem sultandır Gönüllerin sultanıdır Dert çekenlere dermandır   İnci mercan gözlerine Öpülesi ellerine Dertli dertli hallerine Alem hayrandır hayrandır  
9,Abdurrahman Önül,Alem Sever Muhammed'i,Alemlerin Sultanı,Alem sever Muhammed'i Kim sevmez ki o sermeni Yerde bastığı topraklar Hep aşkından inledi  Kime nazar kıldı ise Derman oldu bin bir derde Taştan o yunan putları Dile geldi tasdik ile   Cihan hayran gül yüzüne Nur saçar tebessümüne Ondaki ses tatlılığı Yok bir peygamber sesinde  Kime nazar kıldı ise Derman oldu bin bir derde Taştan o yunan putları Dile geldi tasdik ile      
