,artist,title,album,text
0,Sezen Aksu,1945,Git,"1945  Gel asırlardan uzan da tut ellerimi sımsıcak  Yoksa bendeki çocuk da böyle çaresiz kalacak  Öfke ile beslenen çocuklar yalnızdırlar  Ve ümitleri çiçeklerden, acıları tarihlerden    Senin gibi benim gibi onlar da hep insandılar  Ve sevgiye inandılar ve saygıya inandılar  Senin gibi benim gibi  Onlar biraz terk edilmiş biraz küskün çocuktular    Sanki biraz incitilmiş  Sanki yetersiz sevilmiş  Sanki utandılar kavgadan ve sustular  Öp incilenen göz yaşları kurusun inançlarında    Sene bin dokuz yüz kırk beş onlar da hep insandılar  Ve sevgiye inandılar ve saygıya inandılar  Senin gibi benim gibi...   "
1,Sezen Aksu,1980,1980,Sigaramın dumanına sarsam saklasam seni  Gitme gitme gittiğin yollardan dönülmez geri  Gitme gitme el olursun sevdiğim incitir beni   Yokluğun ah yol yol olsa uzasa unutmam seni  Gitme gitme gittiğin yollardan dönülmez geri  Gitme gitme el olursun sevdiğim incitir beni   Akşam vakti sardı yine hüzünler  Kalbim yangın yeri gel kurtar beni senden  Akşam vakti dolaştım sokaklarda  Yırtık bir afiş seni gördüm duvarda   Sigaramın dumanına sarsam saklasam seni  Yokluğun ah yol yol olsa uzasa unutmam seni  Gitme gitme gittiğin yollardan dönülmez geri  Gitme gitme el olursun sevdiğim incitir beni   
2,Sezen Aksu,Ablam Aşktan Öldü,şarkı söylemek lazım,"Ablam aşktan öldü  Herşey filmlerdeki gibi oldu  Bir hazan yaprağı düşerken  Pencereye bakarak    Son nefesini verdi mucize  Sevgililer buluşamadı  Hayat o'rda o kıyıda  Masalın berisinde kaldı    Hiç yara almadan  Aynadan geçemezsin  Geçemezsin aynadan  Hiç yara almadan    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]  Ablam aşktan öldü  Herşey filmlerdeki gibi oldu  Bir hazan yaprağı düşerken  Pencereye bakarak    Aşktan ölmenin bin yıllık tarihini  Ablam yeniden ama yeniden yazdı    Hiç yara almadan  Aynadan geçemezsin  Geçemezsin aynadan  Hiç yara almadan   "
3,Sezen Aksu,Acıtmışım Canını Sevdikçe,Öptüm,Hani yangın yerinde Sevmiştim ben seni Darmadağın akşamlarda  Bir avuç kül uzattın Bense kırık bir cam Yıkıntılar arasında  Ah neden korktun? Ah neden korktun? Bir uyandım ki artık yoktun Uzanıp eşsiz hatırandan öptüm  Meğer nasıl da acı Nasıl da gece Kanatmışım yaranı sevdikçe Meğer nasıl karanlık Ne beyhude     
4,Sezen Aksu,Ada Vapuru,Öptüm,ADA VARUPU YANDAN ÇARKLI  BAYRAKLAR DONANMIŞ CAFCAFLI  SİMİTÇİ KAHVECİ GAZOZCUSU  ŞİNANAYDA YAVRUM ŞİNA ŞİNANAY  ŞİNANAY ŞİNANAY HOPA ŞİNANAY    ESTİRİR DE ADA YELİ ESTİRİR  SENİ SEVİNDİRİR BENİ KÜSDÜRÜR  LÜKÜS KAMARADA KİMLER OTURUR  ŞİNANAYDA YAVRUM ŞİNA ŞİNANAY  ŞİNANAY ŞİNANAY HOPA ŞİNANAY    MÜSLÜMANI YAHUDİSİ URUMU  İSPORCUSU İHTİYARI VEREMİ  KİMİNİN SAÇI UÇAR KİMİNİN ETEĞİ  ŞİNANAYDA YAVRUM ŞİNA ŞİNANAY  ŞİNANAY ŞİNANAY HOPA ŞİNANAY   
5,Sezen Aksu,Adem Olan Anlar,Deli Kızın Türküsü,Ben bu dünyaya bir türlü alışamadım Bu yüzden insan içine karışamadım Bana mı sordunuz adımı koyarken Bir küstüm bir daha barışamadım  Uyumlu faniler bana uyumsuz derler Delirttiniz beni ey ehven-i şerler Uzlaşırsam namerdim ateşe verseler Garanti muhabbetlere yılışamadım  Ha desem olmaz a ah desem olmaz Birine uysa öbürüne uymaz Yarelli yarelli yarelli o zaman Yarelli yarelli yalelli o zaman Yarelli yarelli yarelli o zaman Yarelli yarelli yarelli o zaman  Sürüden ayrılanları kurtlar yer Arkanı sağlama al ey akıllı beşer Ben çatlarım kurallara uyarsam eğer Ruhumu şeytanla bölüşemedim  Herkesin münasip bir dayısı var 
6,Sezen Aksu,Adı Bende Saklı,Adı Bende Saklı,"Bölünür sancıyla uykular  Sığınak değil en kuytular  Gökte ay on dört ben dolunay  Son hatıranı sinene say   Bu kadarına razıyım yar    Uzak diyarlarda evli barklı  Mutluluk en çok onun hakkı  Bu yorgun kırık dökük hikayede  Adı bende saklı    Dalda muhabbette kumrular  Bana ayrılığı sordular  Dedim afet,yangın dedim kar  Dedim adet aşkı vururlar     Uzak diyarlarda evli barklı  Mutluluk en çok onun hakkı  Bu yorgun kırık dökük hikayede  Adı bende saklı   "
7,Sezen Aksu,Adı Menekşe,Adı Bende Saklı,"Bu şehrin meydanlarında, garında, rıhtımında Sensizlik bir türlü yakamı bırakmıyor Bütün duraklarda, kahvelerde Büyük küçük yalanların  Dönüp dönüp vuruyor ansızın beni Vuruyor yerden yere  Yok ettim salındığın billur aynaları Şimdi uzun uykuların tam zamanıdır Bir yorgan misali örtündüm yalnızlığı Bu yıl da aşk buraya hiç uğramadı      "
8,Sezen Aksu,Ağlamak Güzeldir,Ağlamak Güzeldir,Aglamak guzeldir Suzulurken yaslar gozunden SakIn utanma|  Aglamak ofke delice nefret Doruklarda ask doyumsuz sevinc Kahreden keder kIsaca hayat Ve nefesindir ve nefesindir  Aglamak su gelip gecici dunyada Herseye ragmen varolmak demek Aglamak yasanan binlerce duygu insanca coskunun guzel bir seyidir  Aglamak senin kara dunyada Hala sevdigin ve hissettigin Tum guzelligin ve cirkinliginle Var oldugundur var oldugundur   
9,Sezen Aksu,Ah Felek Yordun Beni,Öptüm,"Uzun uzun aynaya baktım  Dedim ki kendime ""Kız sana ne oldu?""  Gidinin cadısı, mahallenin delisi  Dalgalandın da duruldun mu?    Devrilip yatasın, keyfine bakasın  Toprağı ekesin var belli  Hadi bıktın, usandın kavgadan  Aşktan da mı geçtin temelli?    Yani... Yani... Yani... Yani...    Felek eşeğine ""çüş"" mü dedi?  Dünyada saadet düş mü dedi?  Büyüklerinle görüş mü dedi?  Hâkime, hekime danış mı dedi?    Korktun mu kız, korktun mu?  Küçük dilini yuttun mu?  E bari yükünü tuttun mu?  Hayat bu, alışveriş mi dedi?    Aaaahhh... Aaahhhh...    Ah felek, yordun beni    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]Hem de çok kırdın beni  Valla yıldırdın beni  Dediğin dedik    Ah felek, yordun beni  Hem de çok kırdın beni  Billâ yıldırdın beni  Çaldığın düdük    Bi' dedim en iyisi varayım bi' kocaya  Bi' dedim okutayım iyi bi' hocaya  Olmazsa toplarım tası tarağı  Gider yerleşirim Bolluca'ya    Lâkin gitmeli mi, temize çekmeli mi  Devam etmeli mi, bilemedim  Bir sindim, bir silkindim  Heyhat, arızayı gideremedim!    Yani... Yani... Yani... Yani...      Söz : Sezen Aksu  Müzik : Sezen Aksu   "
10,Sezen Aksu,Ah İstanbul,Öptüm,"Uzanıp Kanlıca'nın orta yerinde bir taşa  Gözümün yaşını yüzdürürüm hisara doğru  Yapacak hiç birşey yok gitmek istedi gitti  Hem anlıyorum hem çok acı tek taraflı bitti    Bi lodos lazım şimdi bana bi kürek bi kayık  Zulada birkaç şişe yakut yer-gök kırmızı  Söverim gelmişine geçmişine ayıpsa ayıp  Düşer üstüme akşamdan kalma sabah yıldızı    Ah İstanbul İstanbul olalı  Hiç görmedi böyle keder  Geberiyorum aşkından  Kalmadı bende gururdan eser      eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Ne acı ne acı insan insan kendine ne kadar yenik  Bulunmadı ihanetin ilacı yürek koca bi kara delik  Yapacak hiç bişey yok gönül bu sevdi  Yeni bir ten yeni bir heyecan bilirim üstelik    Bi lodos lazım şimdi bana bi kürek bi kayık  Zulada birkaç şişe yakut yer-gök kırmızı  Söverim gelmişine geçmişine ayıpsa ayıp  Düşer üstüme akşamdan kalma sabah yıldızı    Ah İstanbul İstanbul olalı  Hiç görmedi böyle keder  Geberiyorum aşkından  Kalmadı bende gururdan eser   "
11,Sezen Aksu,Ah Mazi,Git,Titresin bir mum alevinde o eski günler  Bir gümüş çerçeveden seyret yine maziyi  Bir nezaket bir ince söz duyar da belki  O sararmış resmin hayat bulur yeniden  Ah nerede hani ah nerede hani  Bir şiir gibi narin ve sevdalıydı geçen o zaman  Ah yanarım yanar ah yüreğim sızlar  Bu bir vazgeçiş mi yoksa  Bir hasret ki her sabah gün ağarırken ben  Dilerim yeter ki gün eksilmesin penceremden  Bir nezaket bir ince söz duvarda belki  O sararmış resmin hayat bulur yeniden  Kaldırımlara sümbüli bir yağmur inerdi  Ve tiz bir kadın sesinde bir devir inlerdi   
12,Sezen Aksu,Ahdım Olsun,Bahane,"Geçti yıllar ah geç aydım Anladım ki boşa gün saydım Bakakaldım giden güne Ben hep düne ait kaldım  Çocukluğum kavruk Gençliğim savruk Yetişkinliğimden hiç hayır yok  Hayat, kadere inat Seni sil baştan yaşayacağım Ahdım olsun  Esip geçtim, yağıp geçtim Kaçırdım tez zamanları Pişmanlıklar, düşmanlıklar Bitmez dilimin amanları  Söz-Müzik: Sezen Aksu   "
13,Sezen Aksu,Akasyalar Açarken,Serçe (1978),Yar yolunu kolladım İpek mendil salladım Ona çiçek yolladım Akasyalar açarken   Yarim gelir yanıma Kanı kaynar kanıma Neşe katar canıma Akasyalar açarken   Yarimle biz biz bize Otururuz diz dize Sevişiriz göz göze Akasyalar açarken     
14,Sezen Aksu,Akşam Güneşi,,Batarken ufuktan bir akşam güneşi  Bırakıp gitmiştin beni sen sevgilim  Yıllar yılı oldu hala dönmedin geri  Ne olur ne olur ne olur dön bana  Bak batıyor yine akşam güneşi  Aşkımı dillerde gözümü yollarda  Kimsesiz bırakan şu gurbet ellerde  Sanki kara bulut seni saklıyor benden  Ne olur ne olur ne olur dön bana  Yine gölgelendi akşam güneşi   
15,Sezen Aksu,Âlaturkâ,Işık Doğudan Yükselir,"Gece inerken  Söner perde perde  Grubun rengi Derken başlar semada saltanat Ben ağlarım,gülerken  Mehtap uyanmış,  Seyr-ü sefada yıldızlar,siyaha yanmış Bende fasıl fasıl dert Ah o ne zalim bir yarmış  Çalsın sazlar çalsın bu gece alaturka başlasın Vur usta tamburun tellerine hanendeler çağlasın Çalsın sazlar çalsın bu gece alaturka başlasın Vur usta tamburun tellerine hanendeler çağlasın  Penceremden geçer sandallarla      "
16,Sezen Aksu,Alev Alev,Allahaısmarladık (1977),"Ellerin ne kadar sıcak Tıpkı ateş gibi Bakışların ne kadar yumuşak Tıpkı doğan güneş gibi  Alev alev yanıyor Sevginle kalbimin her köşesi Yüreğim çırpınan bir kuş sanki Sanki bir aşk bestesi  Fısıldıyor kulağıma  Gözlerin ne kadar güzel Bak gözlerimin içine O en, en tatlı sesinle Bana güzel bir şey söyle  Alev alev yanıyor Sevginle kalbimin her köşesi Yüreğim çırpınan bir kuş sanki Sanki bir aşk bestesi  Fısıldıyor kulağıma  Öyle, öyle mutluyum ki "
17,Sezen Aksu,Ali,Sezen Aksu 88,"Namluna dayanır yola dalarsın  Durusun bakısın yaman be Ali  Bosuna tetigi ne kurcalarsın  Var daha atese zaman be Ali    Yıllanmıs bir cınar pusuluk yerin  Nerdeyse gelecek beklediklerin  Var iki atlı can-ı kederin  Desene isleri duman be Ali    Onu sen buyutte sogut boyunca  Kendini ellere versin o gonca    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Sozume kanmadın vurdu uyunca  Koylundu gozunu yuman be Ali    Geldiler beklenen ciftler ormana  Duruyor iki genc ne hos yan yana  Bir kursun kadına birde cobana  inlesin orman be yıllarca Ali    Gorunce uzanmıs yar kucagına  Boynunu dolamıs zulfu bagına  Kursunu kahpeye atacagına  Kendine cevirdin aman be Ali   "
