,release,name,real_name
89,,,"3 Büyükler (Ft. Yener, 9canlı)"
91,,,34 Kotak D
92,,,"4 Süvari Ft. Keno, aLpi, Kurşun"
93,,,Akreple Yelkovan (Ft. 9canlı)
94,,,Aleyhinde
95,,,Anlat Ben Dinlerim
96,,,Apollo
97,,,Ara sıcak
98,,,Arap
99,,,Arap Baharı (ft. G. Han)
100,,,Aşk Şiiri(skit)
101,,,Ay Bizim Yıldız Bizim (Ft. Burak King)
102,,,Ay Kızım
103,,,Ayrım Yok
104,,,Baba Bana Para
105,,,Bakir Cümleler (Feat Ozbi)
106,,,Bana Deli Dediler (Ft. 9canlı)
107,,,Ben Türkmen From Afganistan
108,,,Beyin Bedava
110,,,Bir Milyon Ytl
111,,,"Biz Orjinaliz Feat Panzehir,yunus"
112,,,Boom
113,,,Boynunu Ey
114,2015-02-27,Two and a Half Jam 2,Hop
115,,,İlhamı Şarja Sok
116,,,İnanmıyorum
117,,,İzrael
118,,,Jeton (Ft. Berkant)
119,,,Kanımca
120,,,Kara Kedi (Feat. Alpi)
121,,,Kara Kedi (Ft. Alpi)
122,,,Ko
123,,,Köle Kopter (Feat. Orkun)
124,,,Kral Çıplak (Ft. Fuat)
125,,,Kullanılmış Kondom
126,,,Kuru Sıkı Mania
127,,,Küçelere Su Serpmişem
128,,,La Famila Part 2
129,,,La Familia
130,,,Love Bitmiş
131,,,Madem ki
132,,,Marş
133,,,Maşallah (Ft. Af)
134,,,Mixdown
135,,,Mülteci
136,2015-10-02,Don't,O
137,,,Rap Aşkım (Ft. Iq)
138,,,Rap Bende
139,,,Yerinde Kal
140,2018-04-19,Say Yes,Yes Yes
141,,,Yollar Bile
142,,,Young Turks
143,,,Zbursa (Ft. Ghan)
144,,,Zeytinburnu
145,,,Zeytinburnu Elini Kaldır
146,,,Ben Görünmezim
147,,,Bu Kadar
148,2017-09-02,Intro - Fun Der K,İntro
150,,,Kasvet Dakikaları (feat. Ravi)
151,,,Keder Benim Adım
153,,,Medeniyetin Aşkı
201,,,Abi Uyu
202,,,Cenaze
203,,,Derinlerde
205,,,Ebedi Buzulun Ortasında
206,,,Edebi Yalnızlık
207,,,Fırtına Yaklaşıyor
208,,,Gecenin Gölgesi
209,,,Kara Doğa
210,,,Karanlığın İlahileri
211,,,Karanlık Sular
212,,,Kefen
227,,,Everythings Gonna Be Alright
285,2013-03-16,Altın Yüzüğüm Kırıldı,Altın Yüzüğüm Kırıldı
286,2011-12-02,Bağbozumu,Bağbozumu
287,2011-12-02,Başı Pare Pare Dumanlı Dağlar,Başı Pare Pare
288,2013-03-16,Bir Ay Doğar İlk Akşamdan Geceden,Bir Ay Doğar
289,2011-12-02,Bir Of Çeksem Karşıki Dağlar Yıkılır,Bir Of Çeksem Karşıki Dağlar Yıkılır
290,2011-12-02,Bülbül Havalanmış Yüksekten Uçar,Bülbül Havalanmış
291,2011-12-02,Dün Gece Seyrim İçinde,Dün Gece
292,2011-12-02,Eğin Dedikleri Bir Küçük Şehir,Eğin Dedikleri Bir Küçük Şehir
293,2011-12-02,Ervah-ı Ezelde,Ervah
294,2011-12-02,Ezim Ezim Eziliyor Yüreğim,Ezim Ezim Eziliyor
295,,,Kaleden Kaleye Şahin Uçurdum
296,2003-11-07,Acizim,Acizim
297,,,Bu Gece
298,,,Canlar Canı
299,,,Cemaline Pervaneyim
300,,,Dön Kara Gözlüm
301,,,Geleyim Sana
302,,,Güzel Kardeşim
303,,,Hüzün Gülü
304,2008-06-10,Ah Anam Ah,Ah Anam
305,,,Ahu Gözlüm (Gel De)
306,,,Ahu Gözlüm Yoksa Ayrılık Mı Var
307,,,Aynı Davul Aynı Zurna
308,2018-03-14,Bak Ne Güzel Halimiz Var,Bak Ne Güzel
309,2013-01-01,Bal Yapmaz,Bal Yapmaz
310,1987-03-04,Banane,Banane
311,,,Ben Olsam (Bahar Ayı Geldi)
312,,,Çift Camlardan Ses Gelmiyor
313,,,Dağlar (Boranın Kışı)
314,,,Aramızdaki Fark
315,,,Arsız Adam
316,,,Askere Mektup
317,,,Aşk Hikayesi
318,2007,Aynaların Ötesi,Aynaların Ötesi
319,,,Aynanın İki Yüzü
320,,,Bayramlar Bayram Ola 1
321,,,Bayramlar Bayram Ola 2
322,,,Bayramlar Bayram Ola 3
323,,,Bayramlar Bayram Ola 4
324,,,Bayramlar Bayram Ola 5
325,,,Bayramlar Bayram Ola 6
326,,,Bebeğe Sitem
327,,,Ben Hep Seni Düsünürüm
328,,,Bir Aşk Bulsam
329,,,Bir Daha Öldüm
