,artist,title,album,text
0,Abdurrahim Karakoç,Aramızdaki Fark,Sana Geliyorum,Sen dünden gelirsin ben yarından gelirim Doğmadık bebekler diyarından gelirim Sen müebbet inkarda kılmışsın kararı Ben Kalubela'nın ikrarından gelirim   
1,Abdurrahim Karakoç,Arsız Adam,Beste Beste Türkü Türkü,Ayıp ne günah ne bilmiyor adam  Yüzüne tükürsen silmiyor adam  Memleketi dilim dilim diliyor  Karpuzu yutuyor dilmiyor adam   
2,Abdurrahim Karakoç,Askere Mektup,Beste Beste Türkü Türkü,Aziz dostum sen bu ilden gideli Sekiz mevsim geldi-geçti duydun mu Gine kar koymadı baharın yeli Şeftaliler çiçek açtı duydun mu  Memiklerin Iraz için Kel Durdu Sinan oğlu Muharrem'i öldürdü Keş Ahmet bayram da namaz kıldırdı Kerim Ağa köyden göçtü duydun mu  Çavuşların yumuk gözlü Tahir'i Kahve yaptı kırk senelik ahırı Erkek Fatma Dişi çürük Mahir'i Güpegündüz aldı kaçtı duydun mu  Ala-kardır Binboğa'nın yücesi Asker oldu Halime'nin kocası Sazlıköy'ün ilerici hocası Minarede şarap içti duydun mu      
3,Abdurrahim Karakoç,Aşk Hikayesi,Sana Geliyorum,Başımdan bir kova sevda döküldü Islanmadım üşümedim yandım oy İplik iplik damarlarım söküldü Kurşun yemiş güvercine döndüm oy  Yağmur yorgan oldu döşek kar bana Anladım ki kendi gönlüm dar bana Alev dolu bardakları yar bana Sunuverdi içtim içtim kandım oy  Sevgi ektim naz biçmeye çalıştım Ne zamana ne kendime alıştım Kırk senede yedi hasret bölüştüm Yedi dünya bana düştü sandım oy  Gönül şahinimi yordum gerçeğe Sonsuzda yüzümü sürdüm gerçeğe Teselliden kanat kırdım gerçeğe Tecellinin sinesine kondum oy   
4,Abdurrahim Karakoç,Aynaların Ötesi,Sana Geliyorum,Her ne kusur varsa geçen zamanda Suçsuzdur aynalar ela gözlü yar Mecnunlar Mevla'yı bulursa canda El olur Leyla'lar ela gözlü yar  Güzel açar güzelliğin sergisin Gün ağartır kara saçın örgüsün Muhabbet faslında ölüm türküsün Kim söyler kim çalar ela gözlü yar  Eştikçe iş çıkar işin içinde Gençliği hasret yer sevda göçünde     
5,Abdurrahim Karakoç,Aynanın İki Yüzü,Sana Geliyorum,Bir zirvede habire şiştikçe şişene bak  Bir tabanda her adım yıkılıp düşene bak  Bir ülke yansa bile yan gelip yatanlara  Bir yangın söndürmeye çarıksız koşana bak   
6,Abdurrahim Karakoç,Bayramlar Bayram Ola 1,Beste Beste Türkü Türkü,Güneş yükselmeden kuşluk yerine Bir adam camiden döndü evine Oturdu sessizce yer minderine  Kızı Bayram dedi yalın ayaklı Adam Bayram dedi tam ağlamaklı  Eli öpüldükçe içi burkuldu Konuşmak istedi dili tutuldu Güç bela ağzından bir off kurtuldu  Oğlu Bayram dedi sırtı yamalı Adam he ya dedi gözü kapalı  Düşündü kış yakın evde odun yok Tenekede yağ yok çuvalda un yok Yok yoka karışmış tuz yok sabun yok     
7,Abdurrahim Karakoç,Bayramlar Bayram Ola 2,Beste Beste Türkü Türkü,Ana bu bayram mı aman çok ayıp Çocukken gördüğüm bayramlar hani Mübarek elleri öpüp koklayıp Yüzüme sürdüğüm bayramlar hani  Hani ya o özlem hani ya o tad Ne dışım kaygusuz ne içim rahat Haftalar öncesi her gün her saat Babamdan sorduğum bayramlar hani  Nur yağan geceler gündüzler nerde Neşe paylaştığım öksüzler nerde Dost yollar dost evler dost yüzler nerde Huzura erdiğim bayramlar hani      
8,Abdurrahim Karakoç,Bayramlar Bayram Ola 3,Beste Beste Türkü Türkü,"Kalkarım her sabah kötü bir günde  Yüreğim zindanda sevgim sürgünde  Engeller yol vermez gelemem oğul    Taşırım başımda başıboşları  Konuşur karşımda mezar taşları  Diriler dil vermez bilemem oğul    Tecellim çiledir çeker giderim  Gözyaşı selinde akar giderim  Dostlarım el vermez kalamam oğul      eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Hasretim göl göldür hicranım nehir  Toprağım kor ateş havam som zehir  Arılar bal vermez alamam oğul    Ben aşka koşarım aşk beni vurur  Yaklaştığım deniz içimde kurur  Bahçeler gül vermez gülemem oğul    Bayramlar kurşundur canımda kalır  Yazdığım tebrikler yanımda kalır  Postacı pul vermez salamam oğul   "
9,Abdurrahim Karakoç,Bayramlar Bayram Ola 4,Beste Beste Türkü Türkü,Yağma var yukarı katta Benim canım çıkar altta Çabalarım akar terim Allah kerim  Zulüm köklendi dallandı İşkenceler yasallandı Küfür içer zılgıt yerim Allah kerim  Yokluk kırıyor dizimi Zamlar güldürür yüzümü Sıkıntıdan kalkmaz serim Allah kerim  Bayram gelmiş gelir belki Ben tebrik-mebrik bilmem ki Bayram bayram ola derim Allah kerim   
10,Abdurrahim Karakoç,Bayramlar Bayram Ola 5,Sana Geliyorum,Giden bayramlardan almadık bir tad Gardaş bu senenin bayramı nasıl Şenay'larda bayram her gün her saat Elif'in Döne'nin bayramı nasıl  İçinde boğulduk derdin acının Uykusu bitmedi şeyhin hacının Üç gardaşı şehit veren bacının Oğulsuz ananın bayramı nasıl  Neşe topuğumda elem boyumda Sen çoğunu anla ben az deyim de Kim öldü kim kaldı garip köyümde Ya bizim hanenin bayramı nasıl  Dert deşmek değildir gayem niyetim Düşündükçe sızlar kemiğim etim Gelini dul kalmış torunu yetim Ak saçlı ninenin bayramı nasıl  Hangi eller sürer suçluyu suça Güdümlü başların destesi kaça Kimler zorlanıyor gönülsüz göçe Boş kalan binanın bayramı nasıl  İşkence altında ezilir canlar Masum yiğitlerle dolu zindanlar     
11,Abdurrahim Karakoç,Bayramlar Bayram Ola 6,Beste Beste Türkü Türkü,Alem-i İslam'a rahmet su gibi Aksın bayram olsun bayramlarınız Evleriniz cennet kokusu gibi Koksun bayram olsun bayramlarınız  Zindan medresedir gam yayla size Farkı yok bin yılın bir ayla size Melekler yukardan gıptayla size Baksın bayram olsun bayramlarınız  Uygur Kazak Kırgız Azeri'nizden Gitmesin gardaşlık nazarınızdan Zalimler zulmünü üzerinizden Çeksin bayram olsun bayramlarınız  Süleyman esir de Simon neden hür Hiç durma dünyanın yüzüne tükür Müslümanın sesi münafıktan gür Çıksın bayram olsun bayramlarınız  Serilsin gönüller döşek misali Patlasın sevgiler fişek misali Hakikat durmadan şimşek misali Çaksın bayram olsun bayramlarınız  Haksızlık almasın Hak'kın yerini Aşsın boyunuzdan aşkın derini Kimi gözyaşını kimi terini Döksün bayram olsun bayramlarınız      
12,Abdurrahim Karakoç,Bebeğe Sitem,Beste Beste Türkü Türkü,Aman gelme dedim bak geldin işte Dünyaya meylin var beşersin bebek Bir bilsen dünyamız neyin nesidir Ayırır ağzını işersin bebek  Kimisi su katar içtiğin süte Kimisi at sokar yediğin ete Günahtan hileden haramdan öte Zulmet kuyusuna düşersin bebek  Yukarıya gitsen köle sayarlar Aşağıya insen tefe koyarlar     
13,Abdurrahim Karakoç,Ben Hep Seni Düsünürüm,Beste Beste Türkü Türkü,Asktan yana söz duyunca Ben hep seni düsünürüm Uçsuz hayaller boyunca Ben hep seni düsünürüm  Yildizlar kayar yüceden Renkler siyrilir geceden Yüregim sizlar inceden Ben hep seni düsünürüm  Aklin ucu deger hiçe Yol ararim içten içe Kainat uyur sessizce Ben hep seni düsünürüm      
14,Abdurrahim Karakoç,Bir Aşk Bulsam,Beste Beste Türkü Türkü,Bir aşk bulsam yağmurunda ıslansam  Bir dost bulsam irfanında beslensem  Bir dağ bulsam sinesine yaslansam  Yalınızlığım bitermola bilmem ki   
15,Abdurrahim Karakoç,Bir Daha Öldüm,Sana Geliyorum,Ateste havada suda toprakta  Dün bir daha dogdum bir daha öldüm  Çiçekte meyvada dalda yaprakta  Dün bir daha dogdum bir daha öldüm    Ask kervani son duraga varmadan  Ayrildi bir yerde sekil manadan  Hiç kimse görmeden kimse duymadan  Dün bir daha dogdum bir daha öldüm    Kllitsiz kapinin ön esiginde  Büküldüm iplikçe zaman ignede  Yoktan varolmamin son gediginde  Dün bir daha dogdum bir daha öldüm    Ben deyip dururken içimdeki ben  Dört adim ötede tükendim hemen  Kimbilir belki de vakit gelmeden  Dün bir daha dogdum bir daha öldüm   
16,Abdurrahim Karakoç,Bir Yağmur Bekliyorum,Beste Beste Türkü Türkü,Bir yağmur bekliyorum kuruyanı ıslatsın Bir yağmur bekliyorum tohumlara can katsın Bir yağmur bekliyorum silsin kirlerimizi Bir yağmur bekliyorum bizi bize anlatsın   
17,Abdurrahim Karakoç,Bu Çağrı Sanadır,Sana Geliyorum,Bir damla su gönder bana Eğer gönderebilirsen Ana sütü gibi tertemiz olsun Bir damlası Karadeniz Bir damlası Akdeniz olsun  Bir avuç toprak gönder bana Edirne koksun Ağrı koksun Her zerresi burcu burcu Türkiye koksun Anadolu'dan çağrı koksun  Bir dilim ekmek gönder bana Yiyince lezzetini hissedeyim Bereketini hissedeyim Köy köy tarla tarla Memleketimi hissedeyim  Bir demet çiçek gönder bana Renkleri     
18,Abdurrahim Karakoç,Bu Kirli Düzenin (Alışkanlık),Beste Beste Türkü Türkü,Bu kirli düzenin düzenbazları Azrail'e rüşvet vermeyi dener Ölünce dünyanın en kurnazları Torpille cennete girmeyi dener   
19,Abdurrahim Karakoç,Cahil (Alim Derler),Beste Beste Türkü Türkü,Alim derler bakarsın sözü kelamı cahil Yazar derler yazar da özü kalemli cahil Diplomayla unvanla kazanmış cehaleti Gidip aynaya bakmaz sayar alemi cahil   
20,Abdurrahim Karakoç,Can Kurban,Beste Beste Türkü Türkü,"Bizim kapı dost kapısı  Girene canımız kurban  Selam muhabbet tapusu  Verene canımız kurban    Nefisten soyunduk tül tül  Gitti beden kaldı gönül  Özümüz bağ sözümüz gül  Derene canımız kurban    Uzadıkça hasret demi  Şefkat atı çiğner gem'i    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Yaramıza sabır em'i  Sürene canımız kurban    Hayat kilim çile nakış  Dokuyoruz iniş yokuş  Marifet manaya bakış  Görene canımız kurban    Kin marazdır sevgi sanat  Yürekte kaynar her saat  Kimsesizlere kol kanat  Gerene canımız kurban   "
21,Abdurrahim Karakoç,Can Özümden Besmeleyi 1,Sana Geliyorum,Can özümden besmeleyi çekende Dil yanmazsa ben yanarım sultanım Hak uğruna bir sefere çıkanda Yol yanmazsa ben yanarım sultanım  Arzuhalim ulaşırsa divana Korkarım ki taban değer tavana Çiçeğimden zerre girse kovana Bal yanmazsa ben yanarım sultanım  Göz utanır gönül dostu görünce Can tutuşur candan selam verince Bülbül olup bir bahçeye girince Gül yanmazsa ben yanarım sultanım  Aşıklık içimde doğduğu zaman Kaş yanar gözyaşım yağdığı zaman     
