,artist,title,album,text
0,Adnan Fırat,Adı Eski Aşkım,Gerçekten Sevdiysen!,Adı eski aşkım bide kalbime sorsan Tatmadığı en yeni acıları her gün o yaşatıyor Eski aşk nasıl olsa unutulur deme unutulmuyor Yıllanmış kömür gibi hemen alev alıyor  Dilsiz ruhum onunla her gece konuşuyor Benden kaçıp kaçıp onunla buluşuyor  Daha ne kadar yaşarım onsuz garanti veremem Ebedi uykuya dalıncaya dek yaşatacağım biliyorum Büyük konuşmuyorum o benim aşk sabitim Artçı bir şok değil en büyük depremim   
1,Adnan Fırat,Aşk Aleyhtarı,Gerçekten Sevdiysen!,"Dağıttım iyice her şey her yerde bu evde  Küllüklerde yüzlerce sigara  Sana inancıma indirdiğin o darbenin  Şiddetiyle yıkılıp duruyorum    Yaşanmadan çekip gidiyor günlerim  Hiçbir acıya denk değil bu halim  Ruhsal kavgalarımda hep yenilmekteyim  Ne yere sağlam basabiliyor nede düşünmekteyim    Vur vurabildiğin kadar ey aşk  Gücünün yettiği kadar sapla hançerini    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Ölmesem de kalırsam hesabını soracağım  Hayatım boyunca aleyhine yazacağım    Yaşanmadan çekip gidiyor günlerim  Adına kader denen en sol şeritteyim  Ruhsal kavgalarımda hep yenilmekteyim  Ne yere sağlam basabiliyor nede düşünmekteyim    Vur vurabildiğin kadar ey aşk  Gücünün yettiği kadar sapla hançerini  Ölmesem de kalırsam hesabını soracağım  Hayatım boyunca aleyhine yazacağım   "
2,Adnan Fırat,Aşk Uzun Hayat Kısa,,"Durup ikimizde ardımıza baktık.. Kendi hayatlarımıza döndük sonra Bütün hataları kusur saydık. Serde yalnızlık var bundan sonra   Hala aynısın, hiç değişmemişsin. Hala mutlu olmamdan korkuyorsun, hayat… Ve kadar buyurdu ki aşk uzun hayat kısa Senden ümidi kesmedim bir an olsa Varsın ellerinde çiçeklerle öldü desinler Elbet buluşucaz birgün nasılsa Ve kadar buyurdu ki aşk uzun hayat kısa Senden ümidi kesmedim bir an olsa Varsın ellerinde çiçeklerle öldü desinler Elbet buluşucaz birgün nasıl olsa…   "
3,Adnan Fırat,Aşksızlık Gibisi Yok,Gerçekten Sevdiysen!,"Gönlümü bahtiyar eden aşkımla  Bu günlerde başım çok fena dertte  Pusulamın işlemediği kadar derin  Bu ara dünyam    Yaşattığın acı bi kaç yüz fersah  Git git git yol bitmiyor  Bide aşkın yükünü bana taşıtacaksan  Hiç sevmem daha iyi  Ahh ahh yine yalnız uyandım bu sabah      eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]Aşksızlık gibisi yok acıtanlar oldukça  Bu devirde seven yok yalnızlık revaçta  Bir harap tekne gibi her yerden su alıyorum  Kalmadı takatim senden vazgeçiyorum    Aşksızlık gibisi yok acıtanlar oldukça  Bu devirde seven yok yalnızlık revaçta  Bir harap tekne gibi her yerden su alıyorum  Kalmadı takatim senden vazgeçiyorum  Bitti gidiyorum   "
4,Adnan Fırat,Ben Sendim,Gerçekten Sevdiysen!,"Özür dilemek için aradıysan üzgünüm  'Aradığınız kişiye şuan ulaşılamıyor…Sınırını aşacağım bu gece kendi içimde  Artık bu tende sevgilin yaşamıyor  Kendimi vermeden beni alamazsın  Yalanlarınla yine kandıramazsın  O eskidendi aşkının ortasındaydım  Şimdi kıyısında bile bulamazsın  Yaralandığım yere geri dönüşlerim  Yok bundan sonra    Ben eskiden sendim sen hiç ben olmadın  Git hadi durma  Yaralandığım yere geri dönüşlerim  Yok bundan sonra    Ben eskiden sendim sen hiç ben olmadın  Git hadi durma   Özür dilemek için aradıysan üzgünüm    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Aradığınız kişiye şuan ulaşılmıyor  Sınırını aşacağım bu gece kendi içimde  Artık bu tende sevgilin yaşamıyor  Kendimi vermeden beni alamazsın  Yalanlarınla yine kandıramazsın  O eskidendi aşkının ortasındaydım  Şimdi kıyısında bile bulamazsın  Yaralandığım yere geri dönüşlerim  Yok bundan sonra    Ben eskiden sendim sen hiç ben olmadın  Git hadi durma  Yaralandığım yere geri dönüşlerim  Yok bundan sonra   Ben eskiden sendim sen hiç ben olmadın  Git hadi durma   "
5,Adnan Fırat,Benim Hayatım,deli sevda,Uzaktan görenler mesut sanıyor Bilmezler gözlerim her gün ağlıyor İçimde dinmeyen yaram kanıyor Bir meçhule döndü benim hayatım Bir meçhule döndü benim hayatım Geceyi yaşarım doğmaz güneşim Zamansız küllendi yanan ateşim Geceyi yaşarım doğmaz güneşim Zamansız küllendi yanan ateşim Yarına çıkar mı bilmem gidişim Mevsimsiz sarardı benim hayatım Zamansız sarardı benim hayatım     
6,Adnan Fırat,Çıkabilirsin,Gerçekten Sevdiysen!,Yanlış yerdeymiş anladım yüreğim Güvensiz ellere emanet etmişim Susuzluğun deninceye kadarmış Anladım senin aşkın yalanmış Nasıl çıkardıysam tepeme seni Silkelenir atarım yeniden Bu saf sevda sana acı geldi belli Uzaklaş kaybol gözümün önünden Yoksa lafım ağırdır bilirsin Kaldıramaz altında ezilirsin Söz olamaz aşkıma diyecek Kapıyı biliyorsun çıkabilirsin   
7,Adnan Fırat,Duvarsız Hapishane,Gerçekten Sevdiysen!,Bu aşkı yeni baştan yaşama fırsatım olsaydı Söylediğim her sözü seçer Gözlerine daha güzel bakardım  En ağır cezalar insanın kendine verdiğidir En acı gerçekler sonradan fark edilenlerdir  Hayat zindan sensiz Dünya duvarsız hapishane Zaman hep geç kalıyor Sensiz bu şehir çok virane   
8,Adnan Fırat,Eksi Bir,Eksi bir,Gitmek bu kadar kolay mı sende Bitirmek bir kalbi öldürmek Verdiğin cefanın adı aşk olamaz İnsan sevdiğine böyle bir son yazamaz  Duvara bakan penceremde Seni bekleyişlerim aklımda Kader bazen saçmalıyor Buna şait oluyorum şuanda  Şimdi isyanlar mı yakayım Yalnızlığa mı sarılayım Yoksa bu şehrin tabelasına Eksi bir mi yazayım  Saat tam sabahın dördü Aklım ikiye bölündü Kalbim ağıtlar yakıyor Oysa dün düğünüydü..   
9,Adnan Fırat,Geceye İnciler Dizdim,Benim Hayatım,"Kendimi daha fazla iyi hissetmeye sebebim var Yeni hayatımda bana mutluluklar Sessiz bir oyun perdeler gibi dilsiz şarkılarım var Yeni hayatımda bana mutluluklar Ne çılgın bir öfke ne de bir taşkınlık Ne ezber cümleler bekleme benden kader... Ne resim çerçevesi ne de bir yalnızlık Aşk kalbin baş köşesi, kalbim sadakat abidesi....  Geceye inciler dizdim O karanlık yoldan geçtim Sesi kısıldı uğultuların Tamam tamam dünü affettim.. Sığındığım en eski liman Gözümü ilk açtığım zaman El sıkışıp anlaştım Kendimle son barışmam..  Geceye inciler dizdim O karanlık yoldan geçtim Sesi kısıldı uğultuların Tamam tamam dünü affettim.. Sığındığım en eski liman Gözümü ilk açtığım zaman El sıkışıp anlaştım     "
