,artist,title,album,text
0,Orhan Gencebay,Acaba Nerde,Hasret Rüzgarı,"İnerken aklıma bir kara perde Her şey yeniden başlar bittiği yerde Dönüşü olmayan bir yola girdim Bir yanlışlık yaptım; acaba nerde  Yeniden başlamak, yeniden doğmak Mümkün değil cevabı arayıp bulmak Yeniden başlamak, yeniden doğmak Mümkün değil hesabı yıllara sormak  Nerde benim hasretim ümidim neşem nerde Nerde boyun eğdiğim inancım saygım nerde Nerde benim gençliğim hani sevenler nerde Uğruna baş koyduğum, seninim diyen nerde  Severken mi yoksa sevilirken mi Herkese bir kader yazılırken mi Bana düşen payı bilmiyorken mi Bir yanlışlık yaptım; acaba nerde...   "
1,Orhan Gencebay,Acı Gözyaşlarım,Yarabbim,Acı gözyaşlarımı silecek sevgilim yok  Benim bu derdlerimi ah  Bilecek sevgilim yok  Ömür boyu çekerim yar uğruna cefayı  Bu çektiğim cefayı bilecek sevgilim yok  Benim bu derdlerimi bilecek sevgilim yok  Bir gün olsun bahtıma gülecek sevgilim yok  Beklerim yollarını gelecek gelecek sevgilim yok  Açmışım kollarımı saracak sevgilim yok  Bir gün olsun yüzüme gülecek sevgilim yok  Ömür boyu çekerim yar uğruna cefayı  Bu çektiğim cefayı bilecek sevgilim yok...   
2,Orhan Gencebay,Ağlarsın Bilsen,Avrupa Özel,"Kırdığın kadehte kalan ömrümden Ağlarsın içtiğim yılları bilsen Hicrimle sararıp solan ömrümden Ağlarsın biçtiğim dağları bilsen  Sefiller gücünü bende sınadı Kimi kaçık dedi, Kimi bunadı Berduş eleştirdi,sarhoş kınadı Ağlarsın düştüğüm dilleri bilsen  Ar ettim sakladım uğraşlarımı Haberdar etmedim sırdaşlarımı Gizlemek isterken gözyaşlarımı Ağlarsın seçtiğim yolları bilsen      "
3,Orhan Gencebay,Ahu Gözlüm,,Ahu gözlüm böyle oyun Duydum desem yalan olur Senden gayri yare boyun Eğdim desem yalan olur  Erdim aşkın değerine Yandım derinden derine Seni bin Leyla yerine Koydum desem yalan olur  Akışlarda bu coşkuyu Nakışlarda bu dokuyu Çiçeklerde bu kokuyu Duydum desem yalan olur      
4,Orhan Gencebay,Aklım Takıldı,Yalnız Değilsin,Dün gece hep seni seni düşündüm  Söylediklerine aklım takıldı  Uykumda bir sağa bir sola döndüm  Alaycı gülüşe aklım takıldı   Yüzünde şüpheli bir anlam vardı  Bana ne dediysen sanki yalandı  İçimi tarifsiz bir korku sardı  Aşkımı düşündüm aklım takıldı   Açık konuş benle doğruyu söyle  Nedir bu tavırlar bu gidiş böyle  Bir yanlışlık yaptım demedin amma  Şeytana uydun mu aklım takıldı   Aklım takıldı fikrim takıldı  Yeşil gözlerine aklım takıldı    
5,Orhan Gencebay,Aklımı Aldılar,Utan - Dokunma,"Aklimi aldılar artık nasıl yaşarım  Aklimi aldılar artık nasıl yaşarım  Fikrimi çaldılar bir meçhule koşarım  Gönlümü çaldılar bir hayale koşarım    Sevgilim sevgiden bir mabet yaptım  En büyük eserim seni yarattım  Sevmeyen anlamaz su perişan halimi  Sarhoşum aşkını deli gibi yaşarım  Sarhoşum aşkından her ümidi yaşarım      eval(ez_write_tag([[336,280],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]Nerdeyim nerdesin bir şüphe var içimde  Nerdeyim nerdesin bir şüphe var içimde  Yalnızım çok yalnız bilmediğim biçimde  Yalnızım yapyalnız tatmadığım biçimde    Sevgilim sevgiden bir mabet yaptım  Ömrümü canimi sana adadım  Var mıyım yok muyum her şey senin elinde  Fırsat ver bulaşalım zamanın bir kösesinde  Kaybettim kendimi duyguları sevinde   "
6,Orhan Gencebay,Akma Gözlerimden,Akma Gözlerimden,"Akma gözlerimden  Çıkma düşlerimden  Kaçma ellerimden  Gitmek sana göre değil    Yağma yağmur gibi  Gitme öksüz gibi  Hasret dağlar gibi  Gitme    Kalpler yine kırık mahzun olacak  Sevda yine yarim, yarim kalacak      [ reklamı gizle   hide ads ]Kalpler yine kırık mahzun olacak  Sevda yine dertle tamamlanacak    Susmuş anılarda  Dertli yarınlarda  Çıkmaz sokaklarda  Kalmak bana göre değil    Kir su inadını  Tanrı yazısını  Bozmak bize göre değil   "
7,Orhan Gencebay,Akşam Güneşi,Hatasız Kul olmaz,Batarken ufuktan bir akşam güneşi  Bırakıp gitmiştin beni sen sevgilim  Yıllar yılı oldu hala dönmedin geri  Ne olur ne olur ne olur dön bana  Bak batıyor yine akşam güneşi  Aşkımı dillerde gözümü yollarda  Kimsesiz bırakan şu gurbet ellerde  Sanki kara bulut seni saklıyor benden  Ne olur ne olur ne olur dön bana  Yine gölgelendi akşam güneşi   
8,Orhan Gencebay,Al Hançeri,Yalnız Değilsin,Al hançeri vur bağrıma canım senindir  Varlığıma karar vermek senin emrindir   İsterim ki ömrüm sonu seninle olsun  İsterim ki yaşat beni sevip sevindir   Bazen bana öyle yakın öyle cansın ki  Ben bedenim sense ruhum öyle bensin ki   Dokun bana sarıl bana hep öylece kal  sevilmenin böylesine kim ne desin ki   Canım benim ömrüm benim kim ne desin ki   İsterim ki yaşat beni sevip sevindir  Varlığıma karar vermek senin emrindir.   
9,Orhan Gencebay,Al Senin Olsun,Leyla ile Mecnun,"Al senin olsun bende ne varsa,  İstemem mutluluğu senden uzaksa,    Ver bana gönlümü dert olacaksa,  Gönlünde başka aşk yer bulacaksa,  Bahtını bahtımın kaderi yaptım,  İsterim ömrüm senle son bulacaksa,    En büyük mutluluktur sevilip sevmek,  Zor değil bir gönülde yer bulabilmek.  Yaşamak rüyasında gerçeği görmek,  Ne güzel sevgiliyle dertlere gülmek.    Sanki yaşamamın sebebi sensin,  "
