,album,title,year
0,Haydi Sansim / Gel Bana,Haydi Sansim,1975
1,Haydi Sansim / Gel Bana,Gel Bana,1975
0,Kusura Bakma / Yaşanmamış Yıllar,Kusura Bakma,1976
1,Kusura Bakma / Yaşanmamış Yıllar,Yaşanmamış Yıllar (Утеха),1976
0,Allahaısmarladık / Kac Yıl Gecti Aradan,Allahaısmarladık,1977
1,Allahaısmarladık / Kac Yıl Gecti Aradan,Kac Yıl Gecti Aradan,1977
0,Kaybolan Yıllar / Neye Yarar,Kaybolan Yıllar,1977
1,Kaybolan Yıllar / Neye Yarar,Neye Yarar,1977
0,Allahaısmarladık,Allahaısmarladık,1977
1,Allahaısmarladık,Kendi Kendime,1977
2,Allahaısmarladık,Haydi Söyle (Spiti Mou Spitaki Mou),1977
3,Allahaısmarladık,Uzun Lafın Kısası,1977
4,Allahaısmarladık,Seni Gidi Vurdumduymaz,1977
5,Allahaısmarladık,Geçen Yaz,1977
6,Allahaısmarladık,Gözlerindeki Bulut,1977
7,Allahaısmarladık,Söyle Kimsin?,1977
8,Allahaısmarladık,Alev Alev,1977
9,Allahaısmarladık,Olmaz Olsun,1977
0,Olmaz Olsun / Seni Gidi Vurdumduymaz,Olmaz Olsun,1977
1,Olmaz Olsun / Seni Gidi Vurdumduymaz,Seni Gidi Vurdumduymaz,1977
0,Gölge Etme / Aşk ,Gölge Etme ,1978
1,Gölge Etme / Aşk ,Aşk ,1978
0,Serçe,İçime Sinmiyor,1978
1,Serçe,Minik Serçe,1978
2,Serçe,Sen,1978
3,Serçe,Gölge Etme,1978
4,Serçe,Gün Gelir,1978
5,Serçe,Yorgun Akşamlar,1978
6,Serçe,Sızı,1978
7,Serçe,Çoçuk Ve Dev,1978
8,Serçe,Kaybolan Yıllar,1978
9,Serçe,Gelen Gideni Aratır,1978
10,Serçe,Kaç Yıl Geçti Aradan,1978
11,Serçe,Aşk,1978
12,Serçe,Kime Kalmış Bu Dünya,1978
13,Serçe,Neye Yarar,1978
14,Serçe,Ben Dul Bir Kadınım,1978
15,Serçe,Ud Taksimi,1978
16,Serçe,Ölürsem Yazıktır,1978
17,Serçe,Olmaz İlaç,1978
18,Serçe,Akasyalar Açarken,1978
19,Serçe,Silemezler Gönlümden,1978
20,Serçe,Karam,1978
0,İlk Gün Gibi / Yalancı,İlk Gün Gibi,1979
1,İlk Gün Gibi / Yalancı,Yalancı,1979
0,Allahaskina / Sensiz Icime Sinmiyor,Allahaskina,1979
1,Allahaskina / Sensiz Icime Sinmiyor,Sensiz Icime Sinmiyor,1979
0,Sezen Aksu,Icime Sinmiyor,1980
1,Sezen Aksu,Minik Serce,1980
2,Sezen Aksu,Sen Yillar Once,1980
3,Sezen Aksu,Golge Etme,1980
4,Sezen Aksu,Gun Gelir,1980
5,Sezen Aksu,Yorgun Aksamlar,1980
6,Sezen Aksu,Sizim Sizim Sizlar Icim,1980
7,Sezen Aksu,Cocuk Ve Dev,1980
8,Sezen Aksu,Kaybolan Yillar,1980
9,Sezen Aksu,Gelen Gideni Aratir,1980
0,Sevgilerimle,Dört Günlük Bir Şey,1980
1,Sevgilerimle,Küçük Yaz Çiçeği,1980
2,Sevgilerimle,Uzaklarda Bir Çizgide,1980
3,Sevgilerimle,Sürüklüyorum Çaresizliğimi,1980
4,Sevgilerimle,Bir Acı Kahvenin,1980
5,Sevgilerimle,Hani,1980
6,Sevgilerimle,Dilimin Ucunda Kelimeler,1980
7,Sevgilerimle,Sensizim,1980
8,Sevgilerimle,Çocuk,1980
9,Sevgilerimle,Hata,1980
0,Ağlamak Güzeldir,A,1981
1,Ağlamak Güzeldir,Düşünce,1981
2,Ağlamak Güzeldir,Ağlamak Güzeldir,1981
3,Ağlamak Güzeldir,Yak Bir Sigara,1981
4,Ağlamak Güzeldir,Köprü,1981
5,Ağlamak Güzeldir,Yalnız Kullar (Tanrım),1981
6,Ağlamak Güzeldir,B,1981
7,Ağlamak Güzeldir,En Uzun Gece,1981
8,Ağlamak Güzeldir,Biliyorsun,1981
9,Ağlamak Güzeldir,Ben Her Bahar Aşık Olurum,1981
10,Ağlamak Güzeldir,Lunapark,1981
11,Ağlamak Güzeldir,Hoşgörü,1981
0,Firuze,Firuze,1982
1,Firuze,Ayrılıklar Bitmez,1982
2,Firuze,Neredesiniz?,1982
3,Firuze,İkinci Bahar,1982
4,Firuze,Düm Tek,1982
5,Firuze,Zelzele,1982
6,Firuze,Bazen,1982
7,Firuze,Zavallı Bir Gece,1982
8,Firuze,Şöyle Yürekli Bir Sevda,1982
